From	Usage	To	Weight	 	 
.chart.editor.PaletteChooserPanel	uses	.chart.editor.PaletteSample	4		
.chart.editor.PaletteChooserPanel	uses	.chart.plot.ColorPalette	2		
.chart.editor.PaletteChooserPanel	uses	.chart.plot.RainbowPalette	2		
.chart.editor.PaletteSample	contains	.chart.plot.ColorPalette	7		
.chart.encoders.EncoderUtil	uses	.chart.encoders.ImageEncoderFactory	8		
.chart.encoders.EncoderUtil	uses	.chart.encoders.ImageEncoder	16		
.chart.encoders.ImageEncoderFactory	uses	.chart.encoders.ImageEncoder	8		
.chart.encoders.KeypointPNGEncoderAdapter	implements	.chart.encoders.ImageEncoder	1		
.chart.encoders.SunJPEGEncoderAdapter	implements	.chart.encoders.ImageEncoder	1		
.chart.encoders.SunPNGEncoderAdapter	implements	.chart.encoders.ImageEncoder	1		
.chart.entity.AxisEntity	extends	.chart.entity.ChartEntity	11		
.chart.entity.AxisEntity	contains	.chart.axis.Axis	7		
.chart.entity.AxisEntity	uses	.chart.HashUtilities	1		
.chart.entity.AxisEntity	uses	.util.ObjectUtilities	1		
.chart.entity.AxisEntity	uses	.io.SerialUtilities	2		
.chart.entity.CategoryItemEntity	extends	.chart.entity.ChartEntity	4		
.chart.entity.CategoryItemEntity	contains	.data.category.CategoryDataset	6		
.chart.entity.CategoryItemEntity	uses	.data.KeyedValues2D	6		
.chart.entity.CategoryItemEntity	uses	.util.ObjectUtilities	1		
.chart.entity.CategoryLabelEntity	extends	.chart.entity.TickLabelEntity	2		
.chart.entity.CategoryLabelEntity	uses	.util.ObjectUtilities	1		
.chart.entity.CategoryLabelEntity	uses	.chart.entity.ChartEntity	4		
.chart.entity.CategoryLabelEntity	uses	.chart.HashUtilities	1		
.chart.entity.ChartEntity	implements	.util.PublicCloneable	1		
.chart.entity.ChartEntity	uses	.chart.imagemap.ToolTipTagFragmentGenerator	2		
.chart.entity.ChartEntity	uses	.chart.imagemap.URLTagFragmentGenerator	2		
.chart.entity.ChartEntity	uses	.chart.HashUtilities	1		
.chart.entity.ChartEntity	uses	.io.SerialUtilities	2		
.chart.entity.ChartEntity	uses	.util.ObjectUtilities	1		
.chart.entity.ContourEntity	extends	.chart.entity.ChartEntity	5		
.chart.entity.EntityCollection	uses	.chart.entity.ChartEntity	3		
.chart.entity.JFreeChartEntity	extends	.chart.entity.ChartEntity	11		
.chart.entity.JFreeChartEntity	contains	.chart.JFreeChart	7		
.chart.entity.JFreeChartEntity	uses	.io.SerialUtilities	2		
.chart.entity.JFreeChartEntity	uses	.util.ObjectUtilities	1		
.chart.entity.JFreeChartEntity	uses	.chart.HashUtilities	1		
.chart.entity.LegendItemEntity	extends	.chart.entity.ChartEntity	4		
.chart.entity.LegendItemEntity	contains	.data.general.Dataset	4		
.chart.entity.LegendItemEntity	uses	.util.ObjectUtilities	1		
.chart.entity.PieSectionEntity	extends	.chart.entity.ChartEntity	4		
.chart.entity.PieSectionEntity	contains	.data.general.PieDataset	5		
.chart.entity.PieSectionEntity	uses	.util.ObjectUtilities	1		
.chart.entity.PieSectionEntity	uses	.chart.HashUtilities	1		
.chart.entity.PlotEntity	extends	.chart.entity.ChartEntity	11		
.chart.entity.PlotEntity	contains	.chart.plot.Plot	7		
.chart.entity.PlotEntity	uses	.io.SerialUtilities	2		
.chart.entity.PlotEntity	uses	.util.ObjectUtilities	1		
.chart.entity.PlotEntity	uses	.chart.HashUtilities	1		
.chart.entity.StandardEntityCollection	implements	.chart.entity.EntityCollection	3		
.chart.entity.StandardEntityCollection	implements	.util.PublicCloneable	1		
.chart.entity.StandardEntityCollection	uses	.chart.entity.ChartEntity	6		
.chart.entity.StandardEntityCollection	uses	.util.ObjectUtilities	1		
.chart.entity.TickLabelEntity	extends	.chart.entity.ChartEntity	2		
.chart.entity.TitleEntity	extends	.chart.entity.ChartEntity	11		
.chart.entity.TitleEntity	contains	.chart.title.Title	7		
.chart.entity.TitleEntity	uses	.io.SerialUtilities	2		
.chart.entity.TitleEntity	uses	.util.ObjectUtilities	1		
.chart.entity.TitleEntity	uses	.chart.HashUtilities	1		
.chart.entity.XYAnnotationEntity	extends	.chart.entity.ChartEntity	3		
.chart.entity.XYItemEntity	extends	.chart.entity.ChartEntity	3		
.chart.entity.XYItemEntity	contains	.data.xy.XYDataset	6		
.chart.event.AxisChangeEvent	extends	.chart.event.ChartChangeEvent	2		
.chart.event.AxisChangeEvent	contains	.chart.axis.Axis	4	(mfs)	
.chart.event.AxisChangeListener	uses	.chart.event.AxisChangeEvent	1		
.chart.event.ChartChangeEvent	contains	.chart.event.ChartChangeEventType	9		
.chart.event.ChartChangeEvent	contains	.chart.JFreeChart	7	(mfs)	
.chart.event.ChartChangeListener	uses	.chart.event.ChartChangeEvent	1		
.chart.event.ChartProgressEvent	contains	.chart.JFreeChart	5		
.chart.event.ChartProgressListener	uses	.chart.event.ChartProgressEvent	1	(mfs)	
.chart.event.MarkerChangeEvent	extends	.chart.event.ChartChangeEvent	2		
.chart.event.MarkerChangeEvent	contains	.chart.plot.Marker	4	(mfs)	
.chart.event.MarkerChangeListener	uses	.chart.event.MarkerChangeEvent	1		
.chart.event.OverlayChangeListener	uses	.chart.event.OverlayChangeEvent	1		
.chart.event.PlotChangeEvent	extends	.chart.event.ChartChangeEvent	2		
.chart.event.PlotChangeEvent	contains	.chart.plot.Plot	4	(mfs)	
.chart.event.PlotChangeListener	uses	.chart.event.PlotChangeEvent	1		
.chart.event.RendererChangeEvent	extends	.chart.event.ChartChangeEvent	2		
.chart.event.RendererChangeListener	uses	.chart.event.RendererChangeEvent	1		
.chart.event.TitleChangeEvent	extends	.chart.event.ChartChangeEvent	2		
.chart.event.TitleChangeEvent	contains	.chart.title.Title	4	(mfs)	
.chart.event.TitleChangeListener	uses	.chart.event.TitleChangeEvent	1		
.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator	implements	.chart.imagemap.ToolTipTagFragmentGenerator	1		
.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator	uses	.chart.imagemap.ImageMapUtilities	1		
.chart.imagemap.ImageMapUtilities	uses	.chart.ChartRenderingInfo	6		
.chart.imagemap.ImageMapUtilities	uses	.chart.imagemap.StandardURLTagFragmentGenerator	6		
.chart.imagemap.ImageMapUtilities	uses	.chart.imagemap.StandardToolTipTagFragmentGenerator	6		
.chart.imagemap.ImageMapUtilities	uses	.chart.imagemap.ToolTipTagFragmentGenerator	5		
.chart.imagemap.ImageMapUtilities	uses	.chart.imagemap.URLTagFragmentGenerator	5		
.chart.imagemap.ImageMapUtilities	uses	.chart.imagemap.OverLIBToolTipTagFragmentGenerator	2		
.chart.imagemap.ImageMapUtilities	uses	.chart.entity.ChartEntity	4		
.chart.imagemap.ImageMapUtilities	uses	.chart.entity.EntityCollection	3		
.chart.imagemap.ImageMapUtilities	uses	.util.StringUtils	1		
.chart.imagemap.OverLIBToolTipTagFragmentGenerator	implements	.chart.imagemap.ToolTipTagFragmentGenerator	1		
.chart.imagemap.OverLIBToolTipTagFragmentGenerator	uses	.chart.imagemap.ImageMapUtilities	1	(mfs)	
.chart.imagemap.StandardToolTipTagFragmentGenerator	implements	.chart.imagemap.ToolTipTagFragmentGenerator	1		
.chart.imagemap.StandardToolTipTagFragmentGenerator	uses	.chart.imagemap.ImageMapUtilities	1	(mfs)	
.chart.imagemap.StandardURLTagFragmentGenerator	implements	.chart.imagemap.URLTagFragmentGenerator	1		
.chart.labels.AbstractCategoryItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.AbstractCategoryItemLabelGenerator	uses	.util.ObjectUtilities	1		
.chart.labels.AbstractCategoryItemLabelGenerator	uses	.data.category.CategoryDataset	4		
.chart.labels.AbstractCategoryItemLabelGenerator	uses	.data.KeyedValues2D	4		
.chart.labels.AbstractCategoryItemLabelGenerator	uses	.data.DataUtilities	1		
.chart.labels.AbstractCategoryItemLabelGenerator	uses	.data.Values2D	2		
.chart.labels.AbstractCategoryItemLabelGenerator	uses	.chart.HashUtilities	2		
.chart.labels.AbstractPieItemLabelGenerator	uses	.data.general.PieDataset	2		
.chart.labels.AbstractPieItemLabelGenerator	uses	.chart.HashUtilities	2		
.chart.labels.AbstractPieItemLabelGenerator	uses	.data.general.DatasetUtilities	1		
.chart.labels.AbstractPieItemLabelGenerator	uses	.data.KeyedValues	1		
.chart.labels.AbstractXYItemLabelGenerator	uses	.data.xy.XYDataset	5		
.chart.labels.AbstractXYItemLabelGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.AbstractXYItemLabelGenerator	uses	.chart.HashUtilities	2		
.chart.labels.AbstractXYItemLabelGenerator	uses	.util.ObjectUtilities	1		
.chart.labels.BoxAndWhiskerToolTipGenerator	extends	.chart.labels.StandardCategoryToolTipGenerator	4		
.chart.labels.BoxAndWhiskerToolTipGenerator	implements	.chart.labels.CategoryToolTipGenerator	1		
.chart.labels.BoxAndWhiskerToolTipGenerator	implements	.util.PublicCloneable	1		
.chart.labels.BoxAndWhiskerToolTipGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.BoxAndWhiskerToolTipGenerator	uses	.data.statistics.BoxAndWhiskerCategoryDataset	7		
.chart.labels.BoxAndWhiskerToolTipGenerator	uses	.data.Values2D	1		
.chart.labels.BoxAndWhiskerToolTipGenerator	uses	.chart.labels.AbstractCategoryItemLabelGenerator	1		
.chart.labels.BoxAndWhiskerToolTipGenerator	uses	.data.KeyedValues2D	1		
.chart.labels.BoxAndWhiskerXYToolTipGenerator	extends	.chart.labels.StandardXYToolTipGenerator	4		
.chart.labels.BoxAndWhiskerXYToolTipGenerator	implements	.chart.labels.XYToolTipGenerator	1		
.chart.labels.BoxAndWhiskerXYToolTipGenerator	uses	.data.xy.XYDataset	2		
.chart.labels.BoxAndWhiskerXYToolTipGenerator	uses	.data.statistics.BoxAndWhiskerXYDataset	7		
.chart.labels.BoxAndWhiskerXYToolTipGenerator	uses	.chart.labels.AbstractXYItemLabelGenerator	3		
.chart.labels.BoxAndWhiskerXYToolTipGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.BubbleXYItemLabelGenerator	extends	.chart.labels.AbstractXYItemLabelGenerator	11		
.chart.labels.BubbleXYItemLabelGenerator	implements	.chart.labels.XYItemLabelGenerator	1		
.chart.labels.BubbleXYItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.BubbleXYItemLabelGenerator	uses	.util.ObjectUtilities	1		
.chart.labels.BubbleXYItemLabelGenerator	uses	.chart.HashUtilities	1		
.chart.labels.BubbleXYItemLabelGenerator	uses	.data.xy.XYZDataset	3		
.chart.labels.BubbleXYItemLabelGenerator	uses	.data.xy.XYDataset	4		
.chart.labels.BubbleXYItemLabelGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.CategoryItemLabelGenerator	uses	.data.category.CategoryDataset	3		
.chart.labels.CategorySeriesLabelGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.CategoryToolTipGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.ContourToolTipGenerator	uses	.data.contour.ContourDataset	1		
.chart.labels.CrosshairLabelGenerator	uses	.chart.plot.Crosshair	1	(mfs)	
.chart.labels.CustomXYToolTipGenerator	implements	.chart.labels.XYToolTipGenerator	1		
.chart.labels.CustomXYToolTipGenerator	implements	.util.PublicCloneable	1		
.chart.labels.CustomXYToolTipGenerator	uses	.data.xy.XYDataset	1		
.chart.labels.HighLowItemLabelGenerator	implements	.chart.labels.XYItemLabelGenerator	1		
.chart.labels.HighLowItemLabelGenerator	implements	.chart.labels.XYToolTipGenerator	1		
.chart.labels.HighLowItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.HighLowItemLabelGenerator	uses	.chart.HashUtilities	1		
.chart.labels.HighLowItemLabelGenerator	uses	.data.xy.XYDataset	3		
.chart.labels.HighLowItemLabelGenerator	uses	.data.xy.OHLCDataset	5		
.chart.labels.HighLowItemLabelGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.IntervalCategoryItemLabelGenerator	extends	.chart.labels.StandardCategoryItemLabelGenerator	4		
.chart.labels.IntervalCategoryItemLabelGenerator	implements	.chart.labels.CategoryItemLabelGenerator	1		
.chart.labels.IntervalCategoryItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.IntervalCategoryItemLabelGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.IntervalCategoryItemLabelGenerator	uses	.data.category.IntervalCategoryDataset	3		
.chart.labels.IntervalCategoryItemLabelGenerator	uses	.data.Values2D	1		
.chart.labels.IntervalCategoryItemLabelGenerator	uses	.chart.labels.AbstractCategoryItemLabelGenerator	2		
.chart.labels.IntervalCategoryItemLabelGenerator	uses	.data.KeyedValues2D	2		
.chart.labels.IntervalCategoryToolTipGenerator	extends	.chart.labels.StandardCategoryToolTipGenerator	5		
.chart.labels.IntervalCategoryToolTipGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.IntervalCategoryToolTipGenerator	uses	.data.category.IntervalCategoryDataset	3		
.chart.labels.IntervalCategoryToolTipGenerator	uses	.data.Values2D	1		
.chart.labels.IntervalCategoryToolTipGenerator	uses	.data.KeyedValues2D	2		
.chart.labels.IntervalCategoryToolTipGenerator	uses	.chart.labels.AbstractCategoryItemLabelGenerator	2		
.chart.labels.IntervalXYItemLabelGenerator	extends	.chart.labels.AbstractXYItemLabelGenerator	13		
.chart.labels.IntervalXYItemLabelGenerator	implements	.chart.labels.XYItemLabelGenerator	1		
.chart.labels.IntervalXYItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.IntervalXYItemLabelGenerator	uses	.data.xy.XYDataset	5		
.chart.labels.IntervalXYItemLabelGenerator	uses	.data.xy.IntervalXYDataset	7		
.chart.labels.IntervalXYItemLabelGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.ItemLabelPosition	contains	.chart.labels.ItemLabelAnchor	8		
.chart.labels.ItemLabelPosition	contains	.ui.TextAnchor	12		
.chart.labels.MultipleXYSeriesLabelGenerator	implements	.chart.labels.XYSeriesLabelGenerator	1		
.chart.labels.MultipleXYSeriesLabelGenerator	implements	.util.PublicCloneable	3		
.chart.labels.MultipleXYSeriesLabelGenerator	uses	.chart.HashUtilities	2		
.chart.labels.MultipleXYSeriesLabelGenerator	uses	.data.xy.XYDataset	2		
.chart.labels.MultipleXYSeriesLabelGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.PieSectionLabelGenerator	uses	.data.general.PieDataset	2		
.chart.labels.PieToolTipGenerator	uses	.data.general.PieDataset	1		
.chart.labels.StandardCategoryItemLabelGenerator	extends	.chart.labels.AbstractCategoryItemLabelGenerator	7		
.chart.labels.StandardCategoryItemLabelGenerator	implements	.chart.labels.CategoryItemLabelGenerator	1		
.chart.labels.StandardCategoryItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardCategoryItemLabelGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.StandardCategorySeriesLabelGenerator	implements	.chart.labels.CategorySeriesLabelGenerator	1		
.chart.labels.StandardCategorySeriesLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardCategorySeriesLabelGenerator	uses	.data.category.CategoryDataset	2		
.chart.labels.StandardCategorySeriesLabelGenerator	uses	.data.KeyedValues2D	1		
.chart.labels.StandardCategorySeriesLabelGenerator	uses	.chart.HashUtilities	1		
.chart.labels.StandardCategoryToolTipGenerator	extends	.chart.labels.AbstractCategoryItemLabelGenerator	6		
.chart.labels.StandardCategoryToolTipGenerator	implements	.chart.labels.CategoryToolTipGenerator	1		
.chart.labels.StandardCategoryToolTipGenerator	uses	.data.category.CategoryDataset	1		
.chart.labels.StandardContourToolTipGenerator	implements	.chart.labels.ContourToolTipGenerator	1		
.chart.labels.StandardContourToolTipGenerator	uses	.data.contour.ContourDataset	2		
.chart.labels.StandardContourToolTipGenerator	uses	.data.xy.XYDataset	2		
.chart.labels.StandardContourToolTipGenerator	uses	.data.xy.XYZDataset	1		
.chart.labels.StandardCrosshairLabelGenerator	implements	.chart.labels.CrosshairLabelGenerator	1		
.chart.labels.StandardCrosshairLabelGenerator	uses	.chart.plot.Crosshair	2		
.chart.labels.StandardPieSectionLabelGenerator	extends	.chart.labels.AbstractPieItemLabelGenerator	5		
.chart.labels.StandardPieSectionLabelGenerator	implements	.chart.labels.PieSectionLabelGenerator	1		
.chart.labels.StandardPieSectionLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardPieSectionLabelGenerator	contains	.util.ObjectList	6		
.chart.labels.StandardPieSectionLabelGenerator	uses	.util.AbstractObjectList	1		
.chart.labels.StandardPieSectionLabelGenerator	uses	.data.general.PieDataset	2		
.chart.labels.StandardPieSectionLabelGenerator	uses	.data.KeyedValues	1		
.chart.labels.StandardPieToolTipGenerator	extends	.chart.labels.AbstractPieItemLabelGenerator	4		
.chart.labels.StandardPieToolTipGenerator	implements	.chart.labels.PieToolTipGenerator	1		
.chart.labels.StandardPieToolTipGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardPieToolTipGenerator	uses	.data.general.PieDataset	1		
.chart.labels.StandardXYItemLabelGenerator	extends	.chart.labels.AbstractXYItemLabelGenerator	8		
.chart.labels.StandardXYItemLabelGenerator	implements	.chart.labels.XYItemLabelGenerator	1		
.chart.labels.StandardXYItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardXYItemLabelGenerator	uses	.data.xy.XYDataset	1		
.chart.labels.StandardXYSeriesLabelGenerator	implements	.chart.labels.XYSeriesLabelGenerator	1		
.chart.labels.StandardXYSeriesLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardXYSeriesLabelGenerator	uses	.chart.HashUtilities	1		
.chart.labels.StandardXYSeriesLabelGenerator	uses	.data.xy.XYDataset	2		
.chart.labels.StandardXYSeriesLabelGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.StandardXYToolTipGenerator	extends	.chart.labels.AbstractXYItemLabelGenerator	8		
.chart.labels.StandardXYToolTipGenerator	implements	.chart.labels.XYToolTipGenerator	1		
.chart.labels.StandardXYToolTipGenerator	implements	.util.PublicCloneable	1		
.chart.labels.StandardXYToolTipGenerator	uses	.data.xy.XYDataset	1		
.chart.labels.StandardXYZToolTipGenerator	extends	.chart.labels.StandardXYToolTipGenerator	4		
.chart.labels.StandardXYZToolTipGenerator	implements	.chart.labels.XYZToolTipGenerator	1		
.chart.labels.StandardXYZToolTipGenerator	uses	.util.ObjectUtilities	1		
.chart.labels.StandardXYZToolTipGenerator	uses	.data.xy.XYZDataset	4		
.chart.labels.StandardXYZToolTipGenerator	uses	.chart.labels.AbstractXYItemLabelGenerator	5		
.chart.labels.StandardXYZToolTipGenerator	uses	.data.xy.XYDataset	4		
.chart.labels.StandardXYZToolTipGenerator	uses	.data.general.SeriesDataset	1		
.chart.labels.SymbolicXYItemLabelGenerator	implements	.chart.labels.XYItemLabelGenerator	1		
.chart.labels.SymbolicXYItemLabelGenerator	implements	.chart.labels.XYToolTipGenerator	1		
.chart.labels.SymbolicXYItemLabelGenerator	implements	.util.PublicCloneable	1		
.chart.labels.SymbolicXYItemLabelGenerator	uses	.data.xy.XYDataset	4		
.chart.labels.SymbolicXYItemLabelGenerator	uses	.data.time.TimeSeriesCollection	2		
.chart.labels.SymbolicXYItemLabelGenerator	uses	.data.time.RegularTimePeriod	2		
.chart.labels.SymbolicXYItemLabelGenerator	uses	.data.xy.YisSymbolic	2		
.chart.labels.SymbolicXYItemLabelGenerator	uses	.data.xy.XisSymbolic	2		
.chart.labels.SymbolicXYItemLabelGenerator	uses	.data.time.TimeSeries	2		
.chart.labels.XYItemLabelGenerator	uses	.data.xy.XYDataset	1		
.chart.labels.XYSeriesLabelGenerator	uses	.data.xy.XYDataset	1		
.chart.labels.XYToolTipGenerator	uses	.data.xy.XYDataset	1		
.chart.labels.XYZToolTipGenerator	extends	.chart.labels.XYToolTipGenerator	1		
.chart.labels.XYZToolTipGenerator	uses	.data.xy.XYZDataset	1		
.chart.needle.ArrowNeedle	extends	.chart.needle.MeterNeedle	7		
.chart.needle.ArrowNeedle	uses	.chart.HashUtilities	1		
.chart.needle.LineNeedle	extends	.chart.needle.MeterNeedle	6		
.chart.needle.LongNeedle	extends	.chart.needle.MeterNeedle	11		
.chart.needle.MeterNeedle	uses	.chart.HashUtilities	4		
.chart.needle.MeterNeedle	uses	.io.SerialUtilities	4		
.chart.needle.MeterNeedle	uses	.util.ObjectUtilities	1		
.chart.needle.MeterNeedle	uses	.util.PaintUtilities	1		
.chart.needle.MiddlePinNeedle	extends	.chart.needle.MeterNeedle	6		
.chart.needle.PinNeedle	extends	.chart.needle.MeterNeedle	6		
.chart.needle.PlumNeedle	extends	.chart.needle.MeterNeedle	6		
.chart.needle.PointerNeedle	extends	.chart.needle.MeterNeedle	9		
.chart.needle.ShipNeedle	extends	.chart.needle.MeterNeedle	6		
.chart.needle.WindNeedle	extends	.chart.needle.ArrowNeedle	5		
.chart.needle.WindNeedle	uses	.chart.needle.MeterNeedle	1		
.chart.panel.AbstractOverlay	uses	.chart.event.OverlayChangeListener	4		
.chart.panel.AbstractOverlay	uses	.chart.event.OverlayChangeEvent	3		
.chart.panel.CrosshairOverlay	extends	.chart.panel.AbstractOverlay	7		
.chart.panel.CrosshairOverlay	implements	.chart.panel.Overlay	1		
.chart.panel.CrosshairOverlay	implements	.util.PublicCloneable	1		
.chart.panel.CrosshairOverlay	uses	.chart.plot.Crosshair	31		
.chart.panel.CrosshairOverlay	uses	.ui.RectangleAnchor	48		
.chart.panel.CrosshairOverlay	uses	.ui.TextAnchor	24		
.chart.panel.CrosshairOverlay	uses	.util.ObjectUtilities	1		
.chart.panel.CrosshairOverlay	uses	.text.TextUtilities	4		
.chart.panel.CrosshairOverlay	uses	.chart.labels.CrosshairLabelGenerator	4		
.chart.panel.CrosshairOverlay	uses	.chart.ChartPanel	3		
.chart.panel.CrosshairOverlay	uses	.chart.JFreeChart	2		
.chart.panel.CrosshairOverlay	uses	.chart.plot.Plot	1		
.chart.panel.CrosshairOverlay	uses	.chart.plot.XYPlot	6		
.chart.panel.CrosshairOverlay	uses	.chart.plot.PlotOrientation	2		
.chart.panel.CrosshairOverlay	uses	.chart.axis.ValueAxis	2		
.chart.panel.CrosshairOverlay	uses	.ui.RectangleEdge	1		
.chart.panel.Overlay	uses	.chart.ChartPanel	1	(mfs)	
.chart.panel.Overlay	uses	.chart.event.OverlayChangeListener	2		
.chart.plot.AbstractPieLabelDistributor	uses	.chart.plot.PieLabelRecord	2		
.chart.plot.CategoryCrosshairState	extends	.chart.plot.CrosshairState	11		
.chart.plot.CategoryCrosshairState	uses	.chart.plot.PlotOrientation	4		
.chart.plot.CategoryMarker	extends	.chart.plot.Marker	8		
.chart.plot.CategoryMarker	uses	.chart.event.MarkerChangeEvent	4		
.chart.plot.CategoryMarker	uses	.ui.LengthAdjustmentType	2		
.chart.plot.CategoryPlot	extends	.chart.plot.Plot	92		
.chart.plot.CategoryPlot	implements	.chart.plot.ValueAxisPlot	1		
.chart.plot.CategoryPlot	implements	.chart.plot.Pannable	1		
.chart.plot.CategoryPlot	implements	.chart.plot.Zoomable	1		
.chart.plot.CategoryPlot	implements	.chart.event.RendererChangeListener	6		
.chart.plot.CategoryPlot	implements	.util.PublicCloneable	1		
.chart.plot.CategoryPlot	contains	.chart.plot.PlotOrientation	25		
.chart.plot.CategoryPlot	contains	.ui.RectangleInsets	11		
.chart.plot.CategoryPlot	contains	.util.ObjectList	48		
.chart.plot.CategoryPlot	contains	.chart.plot.DatasetRenderingOrder	7		
.chart.plot.CategoryPlot	contains	.util.SortOrder	9		
.chart.plot.CategoryPlot	contains	.chart.axis.CategoryAnchor	6		
.chart.plot.CategoryPlot	contains	.chart.axis.AxisSpace	28		
.chart.plot.CategoryPlot	contains	.chart.LegendItemCollection	9		
.chart.plot.CategoryPlot	uses	.ui.Layer	39		
.chart.plot.CategoryPlot	uses	.chart.axis.CategoryAxis	27		
.chart.plot.CategoryPlot	uses	.chart.renderer.category.CategoryItemRenderer	41		
.chart.plot.CategoryPlot	uses	.chart.plot.CategoryMarker	5		
.chart.plot.CategoryPlot	uses	.chart.annotations.CategoryAnnotation	6		
.chart.plot.CategoryPlot	uses	.chart.event.AxisChangeListener	6		
.chart.plot.CategoryPlot	uses	.chart.axis.Axis	21		
.chart.plot.CategoryPlot	uses	.chart.axis.ValueAxis	48		
.chart.plot.CategoryPlot	uses	.util.AbstractObjectList	32		
.chart.plot.CategoryPlot	uses	.ui.RectangleEdge	32		
.chart.plot.CategoryPlot	uses	.data.category.CategoryDataset	19		
.chart.plot.CategoryPlot	uses	.chart.plot.Marker	19		
.chart.plot.CategoryPlot	uses	.chart.LegendItem	1		
.chart.plot.CategoryPlot	uses	.data.Values2D	5		
.chart.plot.CategoryPlot	uses	.data.KeyedValues2D	2		
.chart.plot.CategoryPlot	uses	.chart.plot.PlotRenderingInfo	17		
.chart.plot.CategoryPlot	uses	.chart.plot.CategoryCrosshairState	7		
.chart.plot.CategoryPlot	uses	.chart.renderer.category.CategoryItemRendererState	2		
.chart.plot.CategoryPlot	uses	.data.general.DatasetUtilities	1		
.chart.plot.CategoryPlot	uses	.util.PaintUtilities	1		
.chart.plot.CategoryPlot	uses	.util.ObjectUtilities	4		
.chart.plot.CategoryPlot	uses	.io.SerialUtilities	4		
.chart.plot.CategoryPlot	uses	.chart.axis.AxisCollection	7		
.chart.plot.CategoryPlot	uses	.chart.axis.AxisState	4		
.chart.plot.CategoryPlot	uses	.chart.event.MarkerChangeListener	4		
.chart.plot.CategoryPlot	uses	.chart.axis.AxisLocation	21		
.chart.plot.CategoryPlot	uses	.chart.renderer.category.AbstractCategoryItemRenderer	4	(mfs)	
.chart.plot.CategoryPlot	uses	.data.general.DatasetChangeEvent	7		
.chart.plot.CategoryPlot	uses	.chart.event.PlotChangeEvent	4		
.chart.plot.CategoryPlot	uses	.chart.event.ChartChangeEventType	2		
.chart.plot.CategoryPlot	uses	.chart.event.ChartChangeEvent	1		
.chart.plot.CategoryPlot	uses	.data.Range	8		
.chart.plot.CategoryPlot	uses	.data.general.Dataset	9		
.chart.plot.CategoryPlot	uses	.data.general.DatasetChangeListener	4		
.chart.plot.CategoryPlot	uses	.chart.axis.ValueTick	3		
.chart.plot.CategoryPlot	uses	.chart.axis.TickType	3		
.chart.plot.CategoryPlot	uses	.chart.util.ResourceBundleWrapper	1		
.chart.plot.CategoryPlot	uses	.chart.plot.PlotState	2		
.chart.plot.CategoryPlot	uses	.chart.ChartRenderingInfo	1		
.chart.plot.CategoryPlot	uses	.util.ShapeUtilities	1		
.chart.plot.CategoryPlot	uses	.chart.plot.CrosshairState	7		
.chart.plot.CategoryPlot	uses	.chart.event.RendererChangeEvent	1		
.chart.plot.ColorPalette	uses	.chart.axis.ValueTick	2		
.chart.plot.CombinedDomainCategoryPlot	extends	.chart.plot.CategoryPlot	42		
.chart.plot.CombinedDomainCategoryPlot	implements	.chart.event.PlotChangeListener	3		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.plot.PlotRenderingInfo	14		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.axis.AxisSpace	15		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.plot.PlotState	3		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.axis.CategoryAxis	12		
.chart.plot.CombinedDomainCategoryPlot	uses	.ui.RectangleInsets	7		
.chart.plot.CombinedDomainCategoryPlot	uses	.ui.RectangleEdge	3		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.axis.AxisState	1		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.ChartRenderingInfo	1		
.chart.plot.CombinedDomainCategoryPlot	uses	.chart.plot.Plot	16		
